src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
10.163.0.44,255.255.255.255,52392,29810,17,2026-04-02 07:54:17,90.29581904411316,37.875507816471455,0.055373549439285755,0.055373549439285755,0.0,5,0,3420,0,685,683,684.0,0.6324555320336759,0,0,0,0.0,685,683,684.0,0.6324555320336759,0.4,100,0,20,5,22.57395476102829,40.13808488845825,0.0,17.886336915353528,90.29581904411316,40.13808488845825,0.0,22.57395476102829,17.886336915353528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,684.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,684.0,0,0,5,0,3420,0
10.163.0.41,255.255.255.255,52959,29810,17,2026-04-02 07:54:17,90.22215104103088,45.48772061678732,0.06650251552161889,0.06650251552161889,0.0,6,0,4104,0,684,684,684.0,0.0,0,0,0,0.0,684,684,684.0,0.0,0.0,120,0,20,6,18.044430208206176,40.03331184387207,0.0,13.278064488245274,90.22215104103088,40.03331184387207,0.0,18.044430208206176,13.278064488245274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,684.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,684.0,0,0,6,0,4104,0
216.239.38.223,10.163.1.249,443,60779,6,2026-04-02 07:54:17,91.30678200721741,4517.539562038174,7.458372587768671,4.391787676498145,3.0665849112705255,401,280,66202,346280,1514,66,165.0922693266833,297.38795365253645,1514,54,1236.7142857142858,547.2526745443263,1514,54,605.7004405286343,673.2333130629535,453243.0938177208,8020,5600,20,359,0.13427467942237853,15.062294960021973,0.0,1.240079182553792,91.30678200721741,15.877689123153687,0.0,0.2282669550180435,1.6341958239159944,91.16518092155457,15.102702140808105,0.0,0.32675692086578695,1.9301947067067837,50,19,0,0,0,0,0,69,681,0,0,0.6982543640897756,605.7004405286343,7229,2037,0,0,0,0,0,0,0,0,3554.4,34.8,64859.2,46.8,6790.707088625261,281614080.742029,165.0922693266833,1236.7142857142858,0,401,280,66202,346280
10.163.0.45,255.255.255.255,58935,29810,17,2026-04-02 07:54:18,90.29948401451111,53.001410276396385,0.07751982280291991,0.07751982280291991,0.0,7,0,4786,0,684,683,683.7142857142857,0.45175395145262565,0,0,0,0.0,684,683,683.7142857142857,0.45175395145262565,0.20408163265306123,140,0,20,7,15.049914002418518,40.15036201477051,0.0,12.632610568135284,90.29948401451111,40.15036201477051,0.0,15.049914002418518,12.632610568135284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,683.7142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,683.7142857142857,0,0,7,0,4786,0
10.163.0.50,255.255.255.255,35065,29810,17,2026-04-02 07:54:19,90.31621885299683,53.02480618453276,0.07750545902938595,0.07750545902938595,0.0,7,0,4789,0,685,684,684.1428571428571,0.3499271061118826,0,0,0,0.0,685,684,684.1428571428571,0.3499271061118826,0.12244897959183673,140,0,20,7,15.052703142166138,40.13340091705322,0.0,12.626125514254642,90.31621885299683,40.13340091705322,0.0,15.052703142166138,12.626125514254642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,684.1428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,684.1428571428571,0,0,7,0,4789,0
10.163.0.72,255.255.255.255,37703,29810,17,2026-04-02 07:54:19,90.30724096298218,68.3223176149202,0.09965978258254161,0.09965978258254161,0.0,9,0,6170,0,688,684,685.5555555555555,1.4229164972072998,0,0,0,0.0,688,684,685.5555555555555,1.4229164972072998,2.0246913580246915,180,0,20,9,11.288405120372772,30.10286593437195,0.0,7.833266747273561,90.30724096298218,30.10286593437195,0.0,11.288405120372772,7.833266747273561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,685.5555555555555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,685.5555555555555,0,0,9,0,6170,0
10.163.0.46,255.255.255.255,57699,29810,17,2026-04-02 07:54:19,90.21883988380432,60.84095081547774,0.08867327500889449,0.08867327500889449,0.0,8,0,5489,0,688,684,686.125,1.6909686573085854,0,0,0,0.0,688,684,686.125,1.6909686573085854,2.859375,160,0,20,8,12.888405697686332,20.097254991531372,0.0,7.020061942614565,90.21883988380432,20.097254991531372,0.0,12.888405697686332,7.020061942614565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,686.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,686.125,0,0,8,0,5489,0
10.163.0.124,255.255.255.255,57024,29810,17,2026-04-02 07:54:19,90.3109610080719,68.38594043360911,0.08858282439586672,0.08858282439586672,0.0,8,0,6176,0,772,772,772.0,0.0,0,0,0,0.0,772,772,772.0,0.0,0.0,160,0,20,8,12.901565858295985,20.057227849960327,0.0,6.990792369066226,90.3109610080719,20.057227849960327,0.0,12.901565858295985,6.990792369066226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,772.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,772.0,0,0,8,0,6176,0
10.163.0.70,255.255.255.255,58114,29810,17,2026-04-02 07:54:19,90.31698393821716,60.80805359661804,0.08857691711087842,0.08857691711087842,0.0,8,0,5492,0,687,686,686.5,0.5,0,0,0,0.0,687,686,686.5,0.5,0.25,160,0,20,8,12.902426276888166,30.16464591026306,0.0,8.855322542863833,90.31698393821716,30.16464591026306,0.0,12.902426276888166,8.855322542863833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,686.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,686.5,0,0,8,0,5492,0
10.163.0.144,255.255.255.255,58064,29810,17,2026-04-02 07:54:19,90.30362105369568,85.62225866227949,0.1107375306030516,0.1107375306030516,0.0,10,0,7732,0,775,772,773.2,1.1661903789690602,0,0,0,0.0,775,772,773.2,1.1661903789690602,1.36,200,0,20,10,10.033735672632853,20.072992086410522,0.0,4.731259276722184,90.30362105369568,20.072992086410522,0.0,10.033735672632853,4.731259276722184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,773.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,773.2,0,0,10,0,7732,0
